position	filename	char_count	paragraph_count
0	24180_Alarm_Clock.txt	81425	482
1	781_Sinking_of_the_Titanic_and_Great_Sea_Disasters.txt	395015	1467
2	21695_Life_in_the_Red_Brigade_London_Fire_Brigade.txt	170186	589
3	25342_The_Incomparable_29th_and_the_River_Clyde.txt	430199	832
4	22302_The_Western_United_States_A_Geographical_Reader.txt	373714	989
5	20588_The_Wonder_Island_Boys_Exploring_the_Island.txt	317622	1510
6	32028_The_Battle_of_Stone_River.txt	21779	36
7	6940_Old_Mortality_Volume_2.txt	478004	1229
8	23058_The_Queen_Of_Spades.txt	18940	99
9	21281_The_Colored_Inventor_A_Record_of_Fifty_Years.txt	38005	69
10	51824_World_in_a_Bottle.txt	73921	241
11	30062_The_Plague.txt	25208	126
12	1312_Selected_Stories_of_Bret_Harte.txt	674647	1413
13	518_The_Enchanted_Island_of_Yew.txt	199570	988
14	6827_Boy_Scouts_of_the_Air_on_Lost_Island.txt	236762	1039
15	17870_Operation_Terror.txt	255166	853
16	53341_The_Dorrington_Deed-Box.txt	323273	775
17	32759_Red_Nails.txt	172408	640
18	14202_Little_Prudys_Sister_Susy.txt	131087	683
19	27631_Dead_World.txt	29013	92
20	29205_Grove_of_the_Unborn.txt	23694	73
21	551_The_Land_That_Time_Forgot.txt	198360	406
22	5448_Uarda__a_Romance_of_Ancient_Egypt__Volume_10.txt	93483	281
23	965_The_Black_Tulip.txt	384321	2099
24	14629_A_Wonderful_Night_An_Interpretation_Of_Christmas.txt	69291	93
25	40964_Tony_and_the_Beetles.txt	25973	125
26	21756_Philosopher_Jack.txt	260759	934
27	11028_Philippine_Folk-Tales.txt	314548	1119
28	32154_The_Variable_Man.txt	139764	711
29	42183_Queen_of_the_Black_Coast.txt	63707	179
30	6576_The_Bobbsey_Twins_at_Meadow_Brook.txt	201433	1371
31	51610_Solid_Solution.txt	28899	156
32	11861_Radio_Boys_Cronies_Or_Bill_Browns_Radio.txt	188373	717
33	19360_Six_to_Sixteen_A_Story_for_Girls.txt	351391	1197
34	21012_The_Loyalists_of_America_and_Their_Times_Vol_1_of_.txt	1389648	2644
35	15750_Pee-wee_Harris_on_the_Trail.txt	185954	761
36	21694_The_Prairie_Chief.txt	290125	1016
37	27975_Delineations_of_the_Ox_Tribe_The_Natural_History_o.txt	246253	560
38	23385_Saved.txt	142457	321
39	12064_Notes_of_an_Overland_Journey_Through_France_and_Eg.txt	468336	558
40	31665_Skin_Game.txt	17808	77
41	17584_Letters_from_Mesopotamia_in_1915_and_January_1916.txt	212305	483
42	5061_The_Childrens_Book_of_Christmas_Stories.txt	416541	1657
