readout	layer	within	between	separation	z	p	minpair
final	embed	-0.0883	-0.0192	-0.0691	-1.110	0.9215	2
final	L00	-0.0870	-0.0274	-0.0595	-0.878	0.7980	2
final	L01	-0.0869	-0.0275	-0.0593	-0.905	0.8060	2
final	L02	-0.0913	-0.0254	-0.0659	-1.251	0.9345	0
final	L03	-0.0854	-0.0341	-0.0514	-1.697	0.9800	0
final	L04	-0.0745	-0.0438	-0.0307	-1.224	0.9020	0
final	L05	-0.0654	-0.0525	-0.0129	-0.616	0.7195	0
final	L06	-0.0523	-0.0642	0.0119	0.635	0.2560	0
final	L07	-0.0281	-0.0858	0.0577	3.165	0.0030	0
final	L08	-0.0232	-0.0901	0.0669	3.715	0.0010	1
final	L09	-0.0172	-0.0956	0.0785	4.251	0.0000	1
final	L10	-0.0203	-0.0929	0.0726	3.933	0.0015	0
final	L11	-0.0219	-0.0914	0.0695	4.135	0.0000	0
final	L12	-0.0183	-0.0946	0.0763	4.412	0.0000	1
final	L13	-0.0197	-0.0933	0.0737	4.649	0.0000	0
final	L14	-0.0222	-0.0910	0.0688	4.049	0.0005	0
final	L15	-0.0210	-0.0916	0.0707	3.529	0.0035	3
after	embed	-0.1105	-0.0090	-0.1015	-0.798	0.7015	1
after	L00	-0.1121	-0.0069	-0.1052	-1.056	0.9960	0
after	L01	-0.1045	-0.0144	-0.0901	-1.297	0.9775	0
after	L02	-0.1001	-0.0196	-0.0805	-1.389	0.9820	0
after	L03	-0.0859	-0.0318	-0.0541	-1.744	0.9915	0
after	L04	-0.0758	-0.0413	-0.0345	-1.246	0.9200	0
after	L05	-0.0309	-0.0820	0.0511	2.470	0.0165	0
after	L06	0.0447	-0.1486	0.1933	7.565	0.0000	5
after	L07	0.0914	-0.1894	0.2808	9.528	0.0000	9
after	L08	0.1280	-0.2189	0.3470	9.644	0.0000	9
after	L09	0.1424	-0.2307	0.3732	10.018	0.0000	9
after	L10	0.1399	-0.2276	0.3675	9.984	0.0000	9
after	L11	0.1387	-0.2275	0.3662	9.966	0.0000	9
after	L12	0.1419	-0.2303	0.3722	9.878	0.0000	9
after	L13	0.1481	-0.2353	0.3834	9.845	0.0000	9
after	L14	0.1465	-0.2337	0.3802	10.525	0.0000	9
after	L15	0.1393	-0.2268	0.3661	10.062	0.0000	9
