model	readout	layer_idx	layer	separation	z	p	minpair
char	after	0	embed	-0.1015	-0.798	0.7015	1
char	after	1	L00	-0.1052	-1.056	0.9960	0
char	after	2	L01	-0.0901	-1.297	0.9775	0
char	after	3	L02	-0.0805	-1.389	0.9820	0
char	after	4	L03	-0.0541	-1.744	0.9915	0
char	after	5	L04	-0.0345	-1.246	0.9200	0
char	after	6	L05	0.0511	2.470	0.0165	0
char	after	7	L06	0.1933	7.565	0.0000	5
char	after	8	L07	0.2808	9.528	0.0000	9
char	after	9	L08	0.3470	9.644	0.0000	9
char	after	10	L09	0.3732	10.018	0.0000	9
char	after	11	L10	0.3675	9.984	0.0000	9
char	after	12	L11	0.3662	9.966	0.0000	9
char	after	13	L12	0.3722	9.878	0.0000	9
char	after	14	L13	0.3834	9.845	0.0000	9
char	after	15	L14	0.3802	10.525	0.0000	9
char	after	16	L15	0.3661	10.062	0.0000	9
char	final	0	embed	-0.0691	-1.110	0.9215	2
char	final	1	L00	-0.0595	-0.878	0.7980	2
char	final	2	L01	-0.0593	-0.905	0.8060	2
char	final	3	L02	-0.0659	-1.251	0.9345	0
char	final	4	L03	-0.0514	-1.697	0.9800	0
char	final	5	L04	-0.0307	-1.224	0.9020	0
char	final	6	L05	-0.0129	-0.616	0.7195	0
char	final	7	L06	0.0119	0.635	0.2560	0
char	final	8	L07	0.0577	3.165	0.0030	0
char	final	9	L08	0.0669	3.715	0.0010	1
char	final	10	L09	0.0785	4.251	0.0000	1
char	final	11	L10	0.0726	3.933	0.0015	0
char	final	12	L11	0.0695	4.135	0.0000	0
char	final	13	L12	0.0763	4.412	0.0000	1
char	final	14	L13	0.0737	4.649	0.0000	0
char	final	15	L14	0.0688	4.049	0.0005	0
char	final	16	L15	0.0707	3.529	0.0035	3
bpe	after	0	embed	0.0000	0.000	1.0000	0
bpe	after	1	L00	0.0398	0.924	0.1490	4
bpe	after	2	L01	0.0378	1.134	0.1160	4
bpe	after	3	L02	0.0439	1.362	0.0990	4
bpe	after	4	L03	0.1287	4.327	0.0035	6
bpe	after	5	L04	0.4063	9.025	0.0000	8
bpe	after	6	L05	0.4780	9.067	0.0000	8
bpe	after	7	L06	0.4556	8.916	0.0000	8
bpe	after	8	L07	0.4426	10.029	0.0000	9
bpe	after	9	L08	0.4234	9.280	0.0000	8
bpe	after	10	L09	0.5004	9.924	0.0000	9
bpe	after	11	L10	0.5352	9.860	0.0000	9
bpe	after	12	L11	0.5098	9.945	0.0000	9
bpe	after	13	L12	0.5698	10.184	0.0000	9
bpe	after	14	L13	0.6613	10.010	0.0000	9
bpe	after	15	L14	0.7474	10.769	0.0000	9
bpe	after	16	L15	0.7728	10.886	0.0000	9
bpe	final	0	embed	0.0646	1.449	0.0815	5
bpe	final	1	L00	0.0357	1.845	0.0505	4
bpe	final	2	L01	0.0641	3.716	0.0045	4
bpe	final	3	L02	0.1075	5.780	0.0005	8
bpe	final	4	L03	0.1357	6.489	0.0000	7
bpe	final	5	L04	0.1603	7.296	0.0000	8
bpe	final	6	L05	0.1601	7.327	0.0000	8
bpe	final	7	L06	0.1786	7.651	0.0000	8
bpe	final	8	L07	0.1913	7.878	0.0000	8
bpe	final	9	L08	0.2047	7.997	0.0000	8
bpe	final	10	L09	0.2049	7.959	0.0000	8
bpe	final	11	L10	0.2110	8.221	0.0000	8
bpe	final	12	L11	0.2230	8.135	0.0000	8
bpe	final	13	L12	0.2659	8.963	0.0000	8
bpe	final	14	L13	0.3251	9.286	0.0000	8
bpe	final	15	L14	0.3739	10.230	0.0000	9
bpe	final	16	L15	0.4035	9.409	0.0000	9
