iter	readout	layer_idx	layer	within	between	separation	z	p	minpair
20000	final	0	embed	-0.0938	-0.0211	-0.0727	-1.213	0.9260	0
20000	final	1	L00	-0.0820	-0.0279	-0.0541	-0.867	0.8320	2
20000	final	2	L01	-0.0829	-0.0279	-0.0551	-0.833	0.8180	2
20000	final	3	L02	-0.0888	-0.0276	-0.0612	-1.098	0.8740	0
20000	final	4	L03	-0.0945	-0.0256	-0.0688	-1.532	0.9760	0
20000	final	5	L04	-0.0936	-0.0253	-0.0683	-1.697	0.9900	0
20000	final	6	L05	-0.0926	-0.0279	-0.0648	-1.934	0.9970	0
20000	final	7	L06	-0.0926	-0.0280	-0.0646	-1.931	0.9960	0
20000	final	8	L07	-0.0914	-0.0292	-0.0621	-2.000	0.9950	0
20000	final	9	L08	-0.0903	-0.0299	-0.0604	-2.049	0.9960	0
20000	final	10	L09	-0.0874	-0.0326	-0.0548	-1.824	0.9890	0
20000	final	11	L10	-0.0861	-0.0339	-0.0522	-1.784	0.9840	0
20000	final	12	L11	-0.0854	-0.0344	-0.0511	-1.888	0.9850	0
20000	final	13	L12	-0.0829	-0.0366	-0.0463	-1.726	0.9780	0
20000	final	14	L13	-0.0814	-0.0381	-0.0433	-1.668	0.9620	0
20000	final	15	L14	-0.0811	-0.0384	-0.0428	-1.626	0.9580	0
20000	final	16	L15	-0.0816	-0.0379	-0.0437	-1.608	0.9610	0
20000	after	0	embed	-0.1088	-0.0070	-0.1018	-0.821	1.0000	1
20000	after	1	L00	-0.1076	-0.0123	-0.0953	-0.998	0.9390	0
20000	after	2	L01	-0.1002	-0.0197	-0.0804	-1.174	0.9390	0
20000	after	3	L02	-0.0938	-0.0237	-0.0701	-1.161	0.9020	0
20000	after	4	L03	-0.0962	-0.0242	-0.0720	-1.489	0.9840	0
20000	after	5	L04	-0.0943	-0.0264	-0.0679	-1.521	0.9860	0
20000	after	6	L05	-0.0881	-0.0322	-0.0559	-1.507	0.9710	0
20000	after	7	L06	-0.0839	-0.0360	-0.0479	-1.342	0.9420	0
20000	after	8	L07	-0.0829	-0.0366	-0.0463	-1.372	0.9510	0
20000	after	9	L08	-0.0763	-0.0427	-0.0336	-1.104	0.8820	0
20000	after	10	L09	-0.0710	-0.0472	-0.0237	-0.769	0.7550	0
20000	after	11	L10	-0.0692	-0.0488	-0.0204	-0.706	0.7440	0
20000	after	12	L11	-0.0623	-0.0548	-0.0075	-0.252	0.5490	0
20000	after	13	L12	-0.0592	-0.0575	-0.0017	-0.036	0.4680	0
20000	after	14	L13	-0.0563	-0.0598	0.0035	0.127	0.4040	0
20000	after	15	L14	-0.0533	-0.0623	0.0090	0.251	0.3660	0
20000	after	16	L15	-0.0534	-0.0620	0.0086	0.243	0.3590	0
40000	final	0	embed	-0.0941	-0.0210	-0.0731	-1.207	0.9240	0
40000	final	1	L00	-0.0861	-0.0252	-0.0609	-0.936	0.8280	2
40000	final	2	L01	-0.0874	-0.0250	-0.0624	-0.949	0.8510	2
40000	final	3	L02	-0.0935	-0.0269	-0.0666	-1.215	0.9310	0
40000	final	4	L03	-0.0934	-0.0273	-0.0661	-1.592	0.9840	0
40000	final	5	L04	-0.0883	-0.0316	-0.0567	-1.495	0.9600	0
40000	final	6	L05	-0.0866	-0.0334	-0.0531	-1.758	0.9760	0
40000	final	7	L06	-0.0846	-0.0353	-0.0493	-1.864	0.9800	0
40000	final	8	L07	-0.0809	-0.0386	-0.0423	-1.612	0.9670	0
40000	final	9	L08	-0.0791	-0.0402	-0.0389	-1.552	0.9600	0
40000	final	10	L09	-0.0760	-0.0429	-0.0331	-1.363	0.9250	0
40000	final	11	L10	-0.0732	-0.0455	-0.0277	-1.151	0.8770	0
40000	final	12	L11	-0.0713	-0.0472	-0.0242	-0.966	0.8370	0
40000	final	13	L12	-0.0659	-0.0520	-0.0139	-0.623	0.7220	0
40000	final	14	L13	-0.0629	-0.0546	-0.0084	-0.396	0.6470	0
40000	final	15	L14	-0.0632	-0.0543	-0.0089	-0.360	0.6130	0
40000	final	16	L15	-0.0622	-0.0551	-0.0071	-0.311	0.5820	0
40000	after	0	embed	-0.1095	-0.0078	-0.1017	-0.753	1.0000	1
40000	after	1	L00	-0.1083	-0.0078	-0.1005	-1.227	0.9810	0
40000	after	2	L01	-0.1000	-0.0169	-0.0832	-1.284	0.9610	0
40000	after	3	L02	-0.0994	-0.0186	-0.0808	-1.305	0.9710	0
40000	after	4	L03	-0.0947	-0.0259	-0.0687	-1.533	0.9800	0
40000	after	5	L04	-0.0889	-0.0306	-0.0583	-1.453	0.9730	0
40000	after	6	L05	-0.0642	-0.0533	-0.0108	-0.353	0.6020	0
40000	after	7	L06	-0.0476	-0.0681	0.0205	0.670	0.2310	0
40000	after	8	L07	-0.0369	-0.0775	0.0406	1.414	0.0880	0
40000	after	9	L08	-0.0146	-0.0972	0.0826	3.000	0.0040	0
40000	after	10	L09	0.0025	-0.1115	0.1140	4.010	0.0010	2
40000	after	11	L10	0.0092	-0.1171	0.1264	4.166	0.0000	2
