layer	animal_coh	animal_z	animal_p	game_coh	game_z	game_p	animal_PR	game_PR	contrast_PR	animal_PC1	game_PC1	contrast_PC1
embed	0.4611	5.801	0.0018	-0.0513	-0.464	0.5802	1.755	3.084	1.668	0.6869	0.4822	0.7544
L00	0.5697	8.569	0.0000	-0.0485	-0.795	0.8006	3.032	3.534	3.656	0.4876	0.4639	0.4232
L01	0.3754	8.905	0.0000	-0.0181	-0.509	0.6566	5.296	5.266	5.044	0.3340	0.3354	0.3613
L02	0.1253	3.969	0.0014	0.0299	0.994	0.1568	6.444	6.727	6.533	0.2409	0.2466	0.2513
L03	0.0500	3.703	0.0012	0.0173	1.271	0.1050	9.513	9.509	9.273	0.1675	0.1644	0.1574
L04	0.0577	5.510	0.0002	0.0236	2.244	0.0244	9.653	9.979	9.981	0.1745	0.1416	0.1377
L05	0.1497	12.567	0.0000	0.0615	6.116	0.0002	10.386	9.562	10.385	0.1200	0.1677	0.1384
L06	0.2721	14.752	0.0000	0.0792	6.850	0.0000	10.100	9.307	10.110	0.1499	0.1826	0.1507
L07	0.3323	15.060	0.0000	0.0869	7.148	0.0000	9.832	9.151	10.035	0.1692	0.1886	0.1484
L08	0.4049	14.920	0.0000	0.1280	8.301	0.0000	9.485	8.908	9.203	0.1713	0.2001	0.1771
L09	0.4250	14.846	0.0000	0.1354	8.125	0.0000	9.368	8.896	9.059	0.1754	0.1972	0.1812
L10	0.4163	13.981	0.0000	0.1334	7.825	0.0000	9.352	8.689	9.000	0.1724	0.2044	0.1793
L11	0.4066	14.993	0.0000	0.1461	7.532	0.0000	8.925	7.972	9.003	0.1870	0.2460	0.1774
L12	0.4105	14.688	0.0000	0.1433	7.578	0.0000	8.896	7.770	9.007	0.1871	0.2560	0.1768
L13	0.4070	14.448	0.0000	0.1401	7.024	0.0002	8.977	7.651	9.029	0.1841	0.2621	0.1766
L14	0.4026	14.738	0.0000	0.1384	6.684	0.0002	8.969	7.341	9.044	0.1835	0.2765	0.1739
L15	0.3850	13.744	0.0000	0.1364	4.285	0.0066	8.265	4.157	8.443	0.2089	0.4537	0.1939
