checkpoint	iter	val_loss	n_words	n_real	real_frac	nonwords
char_uppercase_16L_1280_no_gelu_matched_lr_iter5000.pt	5000	2.080138	1760	1425	0.809659	exce:3,tood:3,rould:2,bect:2,nown:2,ened:2,coure:2,eniltion:1,hought:1,scamen:1,sonts:1,thostadise:1,woulat:1,toost:1,thowe:1,sond:1,sawat:1,andert:1,thance:1,beggothers:1,whill:1,facce:1,fough:1,withillaboung:1,brould:1,babores:1,sepor:1,cran:1,guscon:1,fird:1,onea:1,shilleaper:1,comeley:1,agairin:1,walonew:1,forenterid:1,befted:1,awanceing:1,awas:1,bereareat:1,lidne:1,begid:1,bordet:1,lackint:1,musely:1,oction:1,fle:1,washe:1,thesed:1,stered:1
char_uppercase_16L_1280_no_gelu_matched_lr_iter10000.pt	10000	1.462424	1491	1230	0.824950	inded:2,worken:1,sthe:1,soods:1,sendre:1,sevended:1,sourcess:1,guart:1,starise:1,assantery:1,preconiced:1,resord:1,maining:1,swambled:1,opported:1,columnies:1,poundered:1,glood:1,islandent:1,eldected:1,afflat:1,glor:1,wep:1,bolich:1,grath:1,activiate:1,showericior:1,publicationy:1,exquested:1,carese:1,givery:1,differends:1,risition:1,resultion:1,angries:1,shement:1,hopesty:1,beneauty:1,disparies:1,numeres:1,popperies:1,subba:1,remoth:1,differended:1,dism:1,vaised:1,pacting:1,articcused:1,strangiden:1,enterritior:1
char_uppercase_16L_1280_no_gelu_matched_lr_iter15000.pt	15000	1.286447	1494	1383	0.925703	colent:1,tillis:1,thistory:1,beneficloy:1,prepost:1,sidewaltar:1,caricolent:1,sailado:1,keaunner:1,hise:1,founters:1,guic:1,guich:1,legious:1,vicy:1,stupally:1,excur:1,sories:1,jomesian:1,enign:1,soriety:1,claely:1,pobs:1,panium:1,infellingly:1,benefil:1,invale:1,doring:1,autument:1,warbarrated:1,tellable:1,herois:1,difficultivity:1,bournment:1,catcha:1,unsursed:1,waggotters:1,everythery:1,snother:1,bruch:1,hidich:1,upportunattes:1,loura:1,tactillery:1,crepared:1,restair:1,sponting:1,therefy:1,ballers:1,troom:1
char_uppercase_16L_1280_no_gelu_matched_lr_iter20000.pt	20000	1.162769	1470	1391	0.946259	merice:3,archeristral:3,madon's:2,orxious:2,perton:2,herily:1,meronity:1,noop:1,variotical:1,depoired:1,covery:1,entery:1,materian:1,refusally:1,pidstots:1,vavisions:1,streat:1,irternging:1,majical:1,unproper:1,glander:1,willingnam:1,beneck:1,eustaunt:1,gemy:1,skare:1,skines:1,tinicket:1,deneration:1,internate:1,prevotion:1,hearting:1,brophief:1,contrigute:1,aboundley:1,slargon:1,archivelyrian:1,henrieter:1,o'class:1,machients:1,breaken:1,damain:1,machinetic:1,pleasurer:1,reverable:1,estations:1,forted:1,permanents:1,traveloduler:1,cifer:1
char_uppercase_16L_1280_no_gelu_matched_lr_iter25000.pt	25000	1.129653	1570	1511	0.962420	manuscretion:2,prescy:2,didn's:1,preconces:1,possives:1,bonishing:1,conces:1,carcel:1,contendencies:1,sn't:1,provostu:1,clambing:1,volvers:1,collidinal:1,madell's:1,elspose:1,hospitch:1,divismal:1,motorway:1,pardering:1,scensed:1,encus:1,scense:1,farthes:1,denove's:1,dugge:1,peopall:1,offsance:1,prona:1,mervice:1,turas:1,disappropriated:1,leether:1,sovered:1,ennabled:1,developeat:1,lirks:1,chastly:1,fems:1,sheducated:1,sook:1,snivering:1,cloping:1,sergeans:1,fasly:1,shabbead:1,raincourse:1,yest:1,pempest:1,saymate:1
char_uppercase_16L_1280_no_gelu_matched_lr_iter30000.pt	30000	1.085285	1534	1479	0.964146	mendal:2,guara:1,beneficar:1,patiences:1,tentatious:1,humois:1,atlar:1,monthey:1,husburd:1,uninited:1,scuprior:1,elevenly:1,valone:1,friskly:1,renne:1,madiel's:1,threed:1,mariel:1,vined:1,strecks:1,geman:1,requestion:1,convale:1,denor:1,tinthrence:1,elliotta:1,mantains:1,sepute:1,fituly:1,sinstant:1,napoleona:1,fascinately:1,famoly:1,mansioner:1,dorses:1,inconventionally:1,financiality:1,stagrin:1,modelter:1,hospitulation:1,poiling:1,rightless:1,bewit:1,sherling:1,safete:1,klene:1,cafete:1,harboras:1,periodics:1,thency:1
char_uppercase_16L_1280_no_gelu_matched_lr_iter35000.pt	35000	1.064372	1528	1493	0.977094	soort:3,jasaute:3,legated:1,bereard:1,profection:1,coopera:1,murkall:1,mongster:1,mooners:1,denerable:1,villaing:1,parded:1,canalism:1,donners:1,servantas:1,famoly:1,samine:1,difford:1,disposity:1,curlemal:1,househood:1,frankfixing:1,torthalus:1,sughtered:1,sloppers:1,iroses:1,abbricat:1,homoted:1,cmarted:1,doundlings:1,refutively:1
char_uppercase_16L_1280_no_gelu_matched_lr_iter40000.pt	40000	1.058084	1497	1457	0.973280	arabitod:2,milinga:2,aguic:1,hunguing:1,fixens:1,launcheoned:1,hospitalands:1,rostoctoctoctoctoctoctoctoctoctoctoctoctoctoctoctoctoctoctoctoctoctories:1,worge:1,aliensworthy:1,turged:1,cookerays:1,milar:1,itemissing:1,pardering:1,searly:1,phesoloce:1,carsonage:1,traggs:1,overtured:1,baboss:1,ginformateum:1,barnacks:1,ocherrook:1,assultance:1,encinement:1,whiping:1,potamamat:1,papement:1,mamble:1,aspound:1,embos:1,lovacity:1,viewe:1,inzoop:1,linklike:1,miling:1,bridkling:1
char_uppercase_16L_1280_no_gelu_matched_lr_iter45000.pt	45000	1.080281	1498	1464	0.977303	amazio:2,friedle:1,sometown:1,hostle:1,bolic:1,bombaster:1,catell:1,excitem:1,supplanaged:1,corpuff:1,murking:1,painstaid:1,gogs:1,piercially:1,buckshaw:1,skey:1,phenolo:1,bearered:1,accorn:1,arnished:1,stswart:1,bootock:1,oched:1,helpsar's:1,salled:1,sickeys:1,novement:1,scupandas:1,assailman:1,sudas:1,clanges:1,witzed:1,refugeously:1
char_uppercase_16L_1280_no_gelu_matched_lr_iter50000.pt	50000	1.024857	1510	1468	0.972185	mession:4,leonary:3,loctus:2,d'arges:1,eleventhe:1,despicate:1,baocie:1,scient:1,conclession:1,hunguys:1,carred:1,proudes:1,hons:1,corrusters:1,commoding:1,chamberling:1,emergenced:1,callround:1,mastropond:1,unneckineckly:1,pontess:1,accasted:1,aslyond:1,manalians:1,manalian:1,selics:1,nurer:1,chopelle:1,pentuluring:1,blevelant:1,tradeship:1,rangerbow:1,sqmith:1,displeasm:1,treater:1,tassenger:1
